waveform	[0]
t0	25.09.2014  07:44:05.867582
delta t	0.002000

time	Y[0]
  05.867582	-2.000000E-3
  05.869582	-4.400000E-3
  05.871582	-4.400000E-3
  05.873582	-8.000000E-3
  05.875582	-2.000000E-3
  05.877582	-3.200000E-3
  05.879582	-8.000000E-4
  05.881582	-2.000000E-3
  05.883582	4.000000E-3
  05.885582	-2.000000E-3
  05.887582	-2.000000E-3
  05.889582	-4.400000E-3
  05.891582	-4.400000E-3
  05.893582	-9.200000E-3
  05.895582	-3.200000E-3
  05.897582	-2.000000E-3
  05.899582	-8.000000E-4
  05.901582	-2.000000E-3
  05.903582	4.000000E-3
  05.905582	-2.000000E-3
  05.907582	-2.000000E-3
  05.909582	-5.600000E-3
  05.911582	-3.200000E-3
  05.913582	-9.200000E-3
  05.915582	-2.000000E-3
  05.917582	-2.000000E-3
  05.919582	-8.000000E-4
  05.921582	-2.000000E-3
  05.923582	4.000000E-3
  05.925582	-2.000000E-3
  05.927582	-2.000000E-3
  05.929582	-4.400000E-3
  05.931582	-4.400000E-3
  05.933582	-9.200000E-3
  05.935582	-2.000000E-3
  05.937582	-2.000000E-3
  05.939582	-8.000000E-4
  05.941582	-2.000000E-3
  05.943582	4.000000E-3
  05.945582	-2.000000E-3
  05.947582	-2.000000E-3
  05.949582	-5.600000E-3
  05.951582	-4.400000E-3
  05.953582	-9.200000E-3
  05.955582	-2.000000E-3
  05.957582	-3.200000E-3
  05.959582	-8.000000E-4
  05.961582	-2.000000E-3
  05.963582	4.000000E-3
  05.965582	-2.000000E-3
  05.967582	-2.000000E-3
  05.969582	-5.600000E-3
  05.971582	-4.400000E-3
  05.973582	-9.200000E-3
  05.975582	-2.000000E-3
  05.977582	-2.000000E-3
  05.979582	-2.000000E-3
  05.981582	-2.000000E-3
  05.983582	4.000000E-3
  05.985582	-2.000000E-3
  05.987582	-2.000000E-3
  05.989582	-4.400000E-3
  05.991582	-4.400000E-3
  05.993582	-8.000000E-3
  05.995582	-2.000000E-3
  05.997582	-2.000000E-3
  05.999582	-8.000000E-4
  06.001582	-2.000000E-3
  06.003582	2.800000E-3
  06.005582	-2.000000E-3
  06.007582	-2.000000E-3
  06.009582	-4.400000E-3
  06.011582	-4.400000E-3
  06.013582	-9.200000E-3
  06.015582	-2.000000E-3
  06.017582	-2.000000E-3
  06.019582	-8.000000E-4
  06.021582	-2.000000E-3
  06.023582	4.000000E-3
  06.025582	-2.000000E-3
  06.027582	-2.000000E-3
  06.029582	-4.400000E-3
  06.031582	-4.400000E-3
  06.033582	-8.000000E-3
  06.035582	-3.200000E-3
  06.037582	-2.000000E-3
  06.039582	-8.000000E-4
  06.041582	-2.000000E-3
  06.043582	2.800000E-3
  06.045582	-2.000000E-3
  06.047582	-2.000000E-3
  06.049582	-4.400000E-3
  06.051582	-3.200000E-3
  06.053582	-9.200000E-3
  06.055582	-2.000000E-3
  06.057582	-2.000000E-3
  06.059582	-8.000000E-4
  06.061582	-2.000000E-3
  06.063582	4.000000E-3
  06.065582	-2.000000E-3
  06.067582	-2.000000E-3
  06.069582	-5.600000E-3
  06.071582	-4.400000E-3
  06.073582	-8.000000E-3
  06.075582	-2.000000E-3
  06.077582	-2.000000E-3
  06.079582	-8.000000E-4
  06.081582	-2.000000E-3
  06.083582	4.000000E-3
  06.085582	-2.000000E-3
  06.087582	-2.000000E-3
  06.089582	-4.400000E-3
  06.091582	-4.400000E-3
  06.093582	-8.000000E-3
  06.095582	-2.000000E-3
  06.097582	-2.000000E-3
  06.099582	-8.000000E-4
  06.101582	-2.000000E-3
  06.103582	4.000000E-3
  06.105582	-2.000000E-3
  06.107582	-2.000000E-3
  06.109582	-4.400000E-3
  06.111582	-3.200000E-3
  06.113582	-9.200000E-3
  06.115582	-2.000000E-3
  06.117582	-2.000000E-3
  06.119582	-8.000000E-4
  06.121582	-2.000000E-3
  06.123582	4.000000E-3
  06.125582	-2.000000E-3
  06.127582	-2.000000E-3
  06.129582	-4.400000E-3
  06.131582	-4.400000E-3
  06.133582	-8.000000E-3
  06.135582	-2.000000E-3
  06.137582	-2.000000E-3
  06.139582	-8.000000E-4
  06.141582	-2.000000E-3
  06.143582	4.000000E-3
  06.145582	-2.000000E-3
  06.147582	-2.000000E-3
  06.149582	-4.400000E-3
  06.151582	-4.400000E-3
  06.153582	-9.200000E-3
  06.155582	-2.000000E-3
  06.157582	-2.000000E-3
  06.159582	-8.000000E-4
  06.161582	-2.000000E-3
  06.163582	4.000000E-3
  06.165582	-2.000000E-3
  06.167582	-2.000000E-3
  06.169582	-5.600000E-3
  06.171582	-4.400000E-3
  06.173582	-9.200000E-3
  06.175582	-2.000000E-3
  06.177582	-2.000000E-3
  06.179582	-8.000000E-4
  06.181582	-2.000000E-3
  06.183582	4.000000E-3
  06.185582	-2.000000E-3
  06.187582	-2.000000E-3
  06.189582	-5.600000E-3
  06.191582	-3.200000E-3
  06.193582	-9.200000E-3
  06.195582	-2.000000E-3
  06.197582	-2.000000E-3
  06.199582	-8.000000E-4
  06.201582	-2.000000E-3
  06.203582	4.000000E-3
  06.205582	-2.000000E-3
  06.207582	-2.000000E-3
  06.209582	-5.600000E-3
  06.211582	-4.400000E-3
  06.213582	-9.200000E-3
  06.215582	-2.000000E-3
  06.217582	-2.000000E-3
  06.219582	-8.000000E-4
  06.221582	-2.000000E-3
  06.223582	4.000000E-3
  06.225582	-2.000000E-3
  06.227582	-2.000000E-3
  06.229582	-4.400000E-3
  06.231582	-4.400000E-3
  06.233582	-9.200000E-3
  06.235582	-2.000000E-3
  06.237582	-2.000000E-3
  06.239582	-8.000000E-4
  06.241582	-2.000000E-3
  06.243582	4.000000E-3
  06.245582	-2.000000E-3
  06.247582	-2.000000E-3
  06.249582	-5.600000E-3
  06.251582	-4.400000E-3
  06.253582	-9.200000E-3
  06.255582	-2.000000E-3
  06.257582	-2.000000E-3
  06.259582	-8.000000E-4
  06.261582	-2.000000E-3
  06.263582	4.000000E-3
  06.265582	-2.000000E-3
  06.267582	-2.000000E-3
  06.269582	-4.400000E-3
  06.271582	-3.200000E-3
  06.273582	-9.200000E-3
  06.275582	-3.200000E-3
  06.277582	-2.000000E-3
  06.279582	-8.000000E-4
  06.281582	-2.000000E-3
  06.283582	4.000000E-3
  06.285582	-2.000000E-3
  06.287582	-2.000000E-3
  06.289582	-4.400000E-3
  06.291582	-4.400000E-3
  06.293582	-9.200000E-3
  06.295582	-2.000000E-3
  06.297582	-2.000000E-3
  06.299582	-8.000000E-4
  06.301582	-2.000000E-3
  06.303582	4.000000E-3
  06.305582	-2.000000E-3
  06.307582	-2.000000E-3
  06.309582	-4.400000E-3
  06.311582	-3.200000E-3
  06.313582	-9.200000E-3
  06.315582	-2.000000E-3
  06.317582	-2.000000E-3
