waveform	[0]
t0	25.09.2014  11:22:50.910467
delta t	0.002000

time	Y[0]
  50.910467	-6.400000E-3
  50.912467	-6.400000E-3
  50.914467	-4.000000E-3
  50.916467	-5.200000E-3
  50.918467	-4.000000E-4
  50.920467	-7.600000E-3
  50.922467	-7.600000E-3
  50.924467	-1.000000E-2
  50.926467	-8.800000E-3
  50.928467	-1.120000E-2
  50.930467	-6.400000E-3
  50.932467	-6.400000E-3
  50.934467	-2.800000E-3
  50.936467	-5.200000E-3
  50.938467	-4.000000E-4
  50.940467	-7.600000E-3
  50.942467	-7.600000E-3
  50.944467	-1.000000E-2
  50.946467	-8.800000E-3
  50.948467	-1.120000E-2
  50.950467	-6.400000E-3
  50.952467	-6.400000E-3
  50.954467	-2.800000E-3
  50.956467	-5.200000E-3
  50.958467	-4.000000E-4
  50.960467	-7.600000E-3
  50.962467	-7.600000E-3
  50.964467	-1.000000E-2
  50.966467	-8.800000E-3
  50.968467	-1.120000E-2
  50.970467	-6.400000E-3
  50.972467	-5.200000E-3
  50.974467	-2.800000E-3
  50.976467	-4.000000E-3
  50.978467	-4.000000E-4
  50.980467	-7.600000E-3
  50.982467	-7.600000E-3
  50.984467	-1.000000E-2
  50.986467	-8.800000E-3
  50.988467	-1.120000E-2
  50.990467	-6.400000E-3
  50.992467	-6.400000E-3
  50.994467	-2.800000E-3
  50.996467	-4.000000E-3
  50.998467	-4.000000E-4
  51.000467	-6.400000E-3
  51.002467	-7.600000E-3
  51.004467	-1.000000E-2
  51.006467	-8.800000E-3
  51.008467	-1.120000E-2
  51.010467	-6.400000E-3
  51.012467	-6.400000E-3
  51.014467	-2.800000E-3
  51.016467	-5.200000E-3
  51.018467	-4.000000E-4
  51.020467	-7.600000E-3
  51.022467	-7.600000E-3
  51.024467	-1.000000E-2
  51.026467	-8.800000E-3
  51.028467	-1.120000E-2
  51.030467	-6.400000E-3
  51.032467	-6.400000E-3
  51.034467	-2.800000E-3
  51.036467	-4.000000E-3
  51.038467	-4.000000E-4
  51.040467	-7.600000E-3
  51.042467	-7.600000E-3
  51.044467	-1.000000E-2
  51.046467	-8.800000E-3
  51.048467	-1.120000E-2
  51.050467	-6.400000E-3
  51.052467	-6.400000E-3
  51.054467	-2.800000E-3
  51.056467	-4.000000E-3
  51.058467	-4.000000E-4
  51.060467	-7.600000E-3
  51.062467	-7.600000E-3
  51.064467	-1.000000E-2
  51.066467	-8.800000E-3
  51.068467	-1.000000E-2
  51.070467	-6.400000E-3
  51.072467	-6.400000E-3
  51.074467	-2.800000E-3
  51.076467	-5.200000E-3
  51.078467	-4.000000E-4
  51.080467	-6.400000E-3
  51.082467	-7.600000E-3
  51.084467	-1.000000E-2
  51.086467	-8.800000E-3
  51.088467	-1.120000E-2
  51.090467	-6.400000E-3
  51.092467	-6.400000E-3
  51.094467	-1.600000E-3
  51.096467	-4.000000E-3
  51.098467	-4.000000E-4
  51.100467	-6.400000E-3
  51.102467	-7.600000E-3
  51.104467	-1.000000E-2
  51.106467	-8.800000E-3
  51.108467	-1.120000E-2
  51.110467	-6.400000E-3
  51.112467	-6.400000E-3
  51.114467	-2.800000E-3
  51.116467	-4.000000E-3
  51.118467	-4.000000E-4
  51.120467	-7.600000E-3
  51.122467	-7.600000E-3
  51.124467	-1.000000E-2
  51.126467	-8.800000E-3
  51.128467	-1.120000E-2
  51.130467	-6.400000E-3
  51.132467	-6.400000E-3
  51.134467	-2.800000E-3
  51.136467	-4.000000E-3
  51.138467	-4.000000E-4
  51.140467	-6.400000E-3
  51.142467	-7.600000E-3
  51.144467	-1.000000E-2
  51.146467	-8.800000E-3
  51.148467	-1.120000E-2
  51.150467	-6.400000E-3
  51.152467	-5.200000E-3
  51.154467	-2.800000E-3
  51.156467	-4.000000E-3
  51.158467	-4.000000E-4
  51.160467	-7.600000E-3
  51.162467	-7.600000E-3
  51.164467	-1.000000E-2
  51.166467	-8.800000E-3
  51.168467	-1.120000E-2
  51.170467	-6.400000E-3
  51.172467	-6.400000E-3
  51.174467	-2.800000E-3
  51.176467	-4.000000E-3
  51.178467	-4.000000E-4
  51.180467	-6.400000E-3
  51.182467	-7.600000E-3
  51.184467	-1.000000E-2
  51.186467	-8.800000E-3
  51.188467	-1.000000E-2
  51.190467	-6.400000E-3
  51.192467	-6.400000E-3
  51.194467	-2.800000E-3
  51.196467	-5.200000E-3
  51.198467	-4.000000E-4
  51.200467	-7.600000E-3
  51.202467	-7.600000E-3
  51.204467	-1.000000E-2
  51.206467	-8.800000E-3
  51.208467	-1.120000E-2
  51.210467	-6.400000E-3
  51.212467	-6.400000E-3
  51.214467	-2.800000E-3
  51.216467	-4.000000E-3
  51.218467	-4.000000E-4
  51.220467	-7.600000E-3
  51.222467	-7.600000E-3
  51.224467	-1.000000E-2
  51.226467	-8.800000E-3
  51.228467	-1.120000E-2
  51.230467	-6.400000E-3
  51.232467	-6.400000E-3
  51.234467	-2.800000E-3
  51.236467	-4.000000E-3
  51.238467	-4.000000E-4
  51.240467	-6.400000E-3
  51.242467	-7.600000E-3
  51.244467	-1.000000E-2
  51.246467	-7.600000E-3
  51.248467	-1.000000E-2
  51.250467	-6.400000E-3
  51.252467	-6.400000E-3
  51.254467	-2.800000E-3
  51.256467	-4.000000E-3
  51.258467	-4.000000E-4
  51.260467	-7.600000E-3
  51.262467	-7.600000E-3
  51.264467	-1.000000E-2
  51.266467	-8.800000E-3
  51.268467	-1.000000E-2
  51.270467	-6.400000E-3
  51.272467	-6.400000E-3
  51.274467	-2.800000E-3
  51.276467	-4.000000E-3
  51.278467	8.000000E-4
  51.280467	-6.400000E-3
  51.282467	-7.600000E-3
  51.284467	-1.000000E-2
  51.286467	-8.800000E-3
  51.288467	-1.000000E-2
  51.290467	-6.400000E-3
  51.292467	-6.400000E-3
  51.294467	-2.800000E-3
  51.296467	-4.000000E-3
  51.298467	-4.000000E-4
  51.300467	-6.400000E-3
  51.302467	-7.600000E-3
  51.304467	-1.000000E-2
