waveform	[0]
t0	25.09.2014  11:22:50.640078
delta t	0.002000

time	Y[0]
  50.640078	-1.000000E-2
  50.642078	-8.800000E-3
  50.644078	-1.000000E-2
  50.646078	-8.800000E-3
  50.648078	-1.000000E-2
  50.650078	-8.800000E-3
  50.652078	-1.000000E-2
  50.654078	-1.000000E-2
  50.656078	-1.000000E-2
  50.658078	-1.000000E-2
  50.660078	-1.000000E-2
  50.662078	-8.800000E-3
  50.664078	-8.800000E-3
  50.666078	-8.800000E-3
  50.668078	-8.800000E-3
  50.670078	-8.800000E-3
  50.672078	-1.000000E-2
  50.674078	-1.000000E-2
  50.676078	-1.000000E-2
  50.678078	-1.000000E-2
  50.680078	-1.000000E-2
  50.682078	-8.800000E-3
  50.684078	-8.800000E-3
  50.686078	-8.800000E-3
  50.688078	-8.800000E-3
  50.690078	-8.800000E-3
  50.692078	-1.000000E-2
  50.694078	-1.000000E-2
  50.696078	-1.000000E-2
  50.698078	-1.000000E-2
  50.700078	-1.000000E-2
  50.702078	-8.800000E-3
  50.704078	-8.800000E-3
  50.706078	-8.800000E-3
  50.708078	-8.800000E-3
  50.710078	-8.800000E-3
  50.712078	-1.000000E-2
  50.714078	-1.000000E-2
  50.716078	-1.000000E-2
  50.718078	-1.000000E-2
  50.720078	-1.000000E-2
  50.722078	-1.000000E-2
  50.724078	-8.800000E-3
  50.726078	-8.800000E-3
  50.728078	-1.000000E-2
  50.730078	-8.800000E-3
  50.732078	-1.000000E-2
  50.734078	-1.000000E-2
  50.736078	-1.000000E-2
  50.738078	-1.000000E-2
  50.740078	-1.000000E-2
  50.742078	-8.800000E-3
  50.744078	-1.000000E-2
  50.746078	-1.000000E-2
  50.748078	-8.800000E-3
  50.750078	-1.000000E-2
  50.752078	-1.000000E-2
  50.754078	-1.000000E-2
  50.756078	-1.000000E-2
  50.758078	-1.000000E-2
  50.760078	-1.000000E-2
  50.762078	-1.000000E-2
  50.764078	-8.800000E-3
  50.766078	-8.800000E-3
  50.768078	-8.800000E-3
  50.770078	-8.800000E-3
  50.772078	-1.000000E-2
  50.774078	-1.000000E-2
  50.776078	-1.000000E-2
  50.778078	-1.000000E-2
  50.780078	-1.000000E-2
  50.782078	-8.800000E-3
  50.784078	-8.800000E-3
  50.786078	-8.800000E-3
  50.788078	-8.800000E-3
  50.790078	-8.800000E-3
  50.792078	-8.800000E-3
  50.794078	-1.000000E-2
  50.796078	-8.800000E-3
  50.798078	-8.800000E-3
  50.800078	-1.000000E-2
  50.802078	-8.800000E-3
  50.804078	-8.800000E-3
  50.806078	-8.800000E-3
  50.808078	-1.000000E-2
  50.810078	-8.800000E-3
  50.812078	-1.000000E-2
  50.814078	-1.000000E-2
  50.816078	-1.000000E-2
  50.818078	-1.000000E-2
  50.820078	-1.000000E-2
  50.822078	-8.800000E-3
  50.824078	-8.800000E-3
  50.826078	-8.800000E-3
  50.828078	-8.800000E-3
  50.830078	-8.800000E-3
  50.832078	-8.800000E-3
  50.834078	-8.800000E-3
  50.836078	-1.000000E-2
  50.838078	-1.000000E-2
  50.840078	-1.000000E-2
  50.842078	-1.000000E-2
  50.844078	-8.800000E-3
  50.846078	-8.800000E-3
  50.848078	-8.800000E-3
  50.850078	-8.800000E-3
  50.852078	-1.000000E-2
  50.854078	-1.000000E-2
  50.856078	-1.000000E-2
  50.858078	-1.000000E-2
  50.860078	-1.000000E-2
  50.862078	-8.800000E-3
  50.864078	-8.800000E-3
  50.866078	-8.800000E-3
  50.868078	-8.800000E-3
  50.870078	-8.800000E-3
  50.872078	-1.000000E-2
  50.874078	-8.800000E-3
  50.876078	-1.000000E-2
  50.878078	-1.000000E-2
  50.880078	-1.000000E-2
  50.882078	-8.800000E-3
  50.884078	-8.800000E-3
  50.886078	-8.800000E-3
  50.888078	-8.800000E-3
  50.890078	-8.800000E-3
  50.892078	-1.000000E-2
  50.894078	-1.000000E-2
  50.896078	-1.000000E-2
  50.898078	-1.000000E-2
  50.900078	-8.800000E-3
  50.902078	-1.000000E-2
  50.904078	-8.800000E-3
  50.906078	-8.800000E-3
  50.908078	-8.800000E-3
  50.910078	-8.800000E-3
  50.912078	-1.000000E-2
  50.914078	-1.000000E-2
  50.916078	-1.000000E-2
  50.918078	-1.000000E-2
  50.920078	-8.800000E-3
  50.922078	-8.800000E-3
  50.924078	-1.000000E-2
  50.926078	-8.800000E-3
  50.928078	-1.000000E-2
  50.930078	-8.800000E-3
  50.932078	-1.000000E-2
  50.934078	-1.000000E-2
  50.936078	-1.000000E-2
  50.938078	-1.000000E-2
  50.940078	-1.000000E-2
  50.942078	-8.800000E-3
  50.944078	-8.800000E-3
