time [ms];channel 1 [bar];channel 2 [bar]
0,0;-0,65;-0,65
1,0;-0,66;-0,66
2,0;-0,67;-0,67
3,0;-0,67;-0,66
4,0;-0,67;-0,66
5,0;-0,66;-0,66
6,0;-0,67;-0,66
7,0;-0,67;-0,67
8,0;-0,70;-0,68
9,0;-0,70;-0,68
10,0;-0,69;-0,67
11,0;-0,66;-0,66
12,0;-0,65;-0,66
13,0;-0,65;-0,65
14,0;-0,66;-0,66
15,0;-0,66;-0,65
16,0;-0,66;-0,66
17,0;-0,65;-0,65
18,0;-0,62;-0,63
19,0;-0,62;-0,64
20,0;-0,65;-0,65
21,0;-0,66;-0,66
22,0;-0,67;-0,67
23,0;-0,67;-0,66
24,0;-0,66;-0,66
25,0;-0,67;-0,66
26,0;-0,67;-0,66
27,0;-0,68;-0,67
28,0;-0,70;-0,69
29,0;-0,70;-0,68
30,0;-0,67;-0,66
31,0;-0,64;-0,64
32,0;-0,59;-0,58
33,0;-0,55;-0,54
34,0;-0,51;-0,50
35,0;-0,47;-0,49
36,0;-0,51;-0,54
37,0;-0,45;-0,46
38,0;-0,43;-0,41
39,0;-0,43;-0,39
40,0;-0,38;-0,37
41,0;-0,41;-0,36
42,0;-0,40;-0,35
43,0;-0,36;-0,33
44,0;-0,35;-0,22
45,0;-0,29;-0,28
46,0;-0,23;-0,27
47,0;-0,30;-0,29
48,0;-0,29;-0,27
49,0;-0,27;-0,25
50,0;-0,24;-0,23
51,0;-0,21;-0,21
52,0;-0,20;-0,19
53,0;-0,18;-0,20
54,0;-0,17;-0,18
55,0;-0,16;-0,16
56,0;-0,14;-0,15
57,0;-0,12;-0,12
58,0;-0,10;-0,10
59,0;-0,11;-0,12
60,0;-0,12;-0,11
61,0;-0,11;-0,11
62,0;-0,11;-0,11
63,0;-0,11;-0,10
64,0;-0,10;-0,09
65,0;-0,10;-0,08
66,0;-0,09;-0,07
67,0;-0,09;-0,08
68,0;-0,11;-0,09
69,0;-0,09;-0,08
70,0;-0,06;-0,06
71,0;-0,04;-0,05
72,0;-0,04;-0,04
73,0;-0,04;-0,04
74,0;-0,04;-0,04
75,0;-0,03;-0,04
76,0;-0,02;-0,03
77,0;0,00;-0,01
78,0;0,01;0,00
79,0;0,00;-0,01
80,0;-0,01;-0,02
81,0;-0,02;-0,02
82,0;-0,02;-0,02
83,0;-0,02;-0,01
84,0;-0,02;-0,01
85,0;-0,01;-0,01
86,0;-0,01;-0,01
87,0;-0,04;-0,03
88,0;-0,04;-0,03
89,0;-0,03;-0,02
90,0;-0,01;-0,01
91,0;0,00;0,00
92,0;0,00;0,00
93,0;0,00;0,00
94,0;0,00;0,00
95,0;0,00;0,00
96,0;0,00;0,00
97,0;0,03;0,01
98,0;0,03;0,02
99,0;0,28;0,22
100,0;0,55;0,93
101,0;0,56;0,58
102,0;0,81;0,84
103,0;1,00;0,98
104,0;0,97;0,99
105,0;1,05;1,04
106,0;1,07;1,06
107,0;1,17;1,12
108,0;1,18;1,22
109,0;1,24;1,23
110,0;1,33;1,34
111,0;1,41;1,40
112,0;1,45;1,45
113,0;1,49;1,48
114,0;1,53;1,53
115,0;1,61;1,58
116,0;1,65;1,65
117,0;1,73;1,72
118,0;1,79;1,78
119,0;1,84;1,82
120,0;1,87;1,86
121,0;1,92;1,92
122,0;1,98;1,98
123,0;2,04;2,04
124,0;2,10;2,09
