time [ms];channel 1 [bar];channel 2 [bar]
0,0;-0,69;-0,66
1,0;-0,69;-0,66
2,0;-0,67;-0,65
3,0;-0,65;-0,64
4,0;-0,64;-0,64
5,0;-0,65;-0,64
6,0;-0,65;-0,64
7,0;-0,65;-0,64
8,0;-0,65;-0,64
9,0;-0,64;-0,63
10,0;-0,61;-0,63
11,0;-0,61;-0,63
12,0;-0,64;-0,63
13,0;-0,66;-0,65
14,0;-0,65;-0,65
15,0;-0,66;-0,64
16,0;-0,66;-0,64
17,0;-0,66;-0,64
18,0;-0,65;-0,64
19,0;-0,67;-0,65
20,0;-0,69;-0,67
21,0;-0,69;-0,66
22,0;-0,67;-0,65
23,0;-0,65;-0,64
24,0;-0,65;-0,64
25,0;-0,65;-0,64
26,0;-0,65;-0,64
27,0;-0,65;-0,64
28,0;-0,65;-0,64
29,0;-0,64;-0,63
30,0;-0,61;-0,61
31,0;-0,61;-0,60
32,0;-0,59;-0,55
33,0;-0,60;-0,52
34,0;-0,54;-0,49
35,0;-0,52;-0,52
36,0;-0,51;-0,46
37,0;-0,47;-0,46
38,0;-0,47;-0,44
39,0;-0,48;-0,41
40,0;-0,48;-0,42
41,0;-0,45;-0,39
42,0;-0,38;-0,35
43,0;-0,36;-0,31
44,0;-0,34;-0,32
45,0;-0,31;-0,29
46,0;-0,32;-0,22
47,0;-0,30;-0,23
48,0;-0,26;-0,22
49,0;-0,24;-0,23
50,0;-0,21;-0,20
51,0;-0,17;-0,19
52,0;-0,21;-0,19
53,0;-0,20;-0,20
54,0;-0,20;-0,19
55,0;-0,19;-0,17
56,0;-0,18;-0,16
57,0;-0,16;-0,15
58,0;-0,15;-0,14
59,0;-0,17;-0,14
60,0;-0,18;-0,16
61,0;-0,15;-0,14
62,0;-0,13;-0,12
63,0;-0,10;-0,10
64,0;-0,09;-0,09
65,0;-0,09;-0,08
66,0;-0,08;-0,07
67,0;-0,08;-0,07
68,0;-0,06;-0,06
69,0;-0,04;-0,04
70,0;-0,02;-0,03
71,0;-0,02;-0,03
72,0;-0,04;-0,03
73,0;-0,05;-0,04
74,0;-0,05;-0,04
75,0;-0,04;-0,03
76,0;-0,04;-0,03
77,0;-0,03;-0,03
78,0;-0,03;-0,02
79,0;-0,05;-0,03
80,0;-0,06;-0,04
81,0;-0,04;-0,02
82,0;-0,02;-0,01
83,0;-0,01;0,00
84,0;-0,01;0,00
85,0;0,00;0,00
86,0;-0,01;0,00
87,0;0,00;0,00
88,0;0,00;0,01
89,0;0,02;0,02
90,0;0,04;0,03
91,0;0,27;0,18
92,0;0,57;0,52
93,0;0,55;0,63
94,0;0,61;0,91
95,0;0,60;0,86
96,0;0,92;0,88
97,0;0,96;0,90
98,0;1,01;1,07
99,0;1,19;1,10
100,0;1,26;1,23
101,0;1,33;1,30
102,0;1,45;1,47
103,0;1,56;1,56
104,0;1,64;1,64
105,0;1,73;1,73
106,0;1,83;1,83
107,0;1,89;1,90
108,0;2,02;2,00
109,0;2,12;2,09
110,0;2,19;2,18
111,0;2,27;2,26
112,0;2,33;2,33
113,0;2,39;2,39
114,0;2,47;2,47
115,0;2,54;2,53
116,0;2,60;2,60
117,0;2,66;2,66
118,0;2,70;2,71
119,0;2,72;2,74
120,0;2,78;2,79
121,0;2,84;2,85
122,0;2,90;2,90
123,0;2,95;2,95
124,0;2,98;2,98
125,0;3,01;3,01
126,0;3,04;3,05
127,0;3,07;3,07
128,0;3,11;3,10
129,0;3,16;3,14
130,0;3,18;3,17
131,0;3,19;3,19
132,0;3,19;3,20
133,0;3,21;3,21
134,0;3,23;3,23
135,0;3,25;3,25
136,0;3,27;3,27
137,0;3,28;3,29
138,0;3,29;3,30
139,0;3,28;3,30
140,0;3,30;3,32
141,0;3,34;3,35
142,0;3,37;3,37
143,0;3,39;3,39
144,0;3,40;3,40
145,0;3,41;3,41
146,0;3,42;3,42
147,0;3,43;3,44
148,0;3,45;3,45
149,0;3,48;3,47
150,0;3,49;3,48
151,0;3,48;3,48
152,0;3,47;3,48
153,0;3,48;3,49
154,0;3,49;3,50
155,0;3,50;3,51
156,0;3,51;3,52
157,0;3,52;3,52
158,0;3,51;3,52
159,0;3,50;3,52
160,0;3,52;3,54
161,0;3,55;3,56
162,0;3,57;3,58
163,0;3,59;3,59
164,0;3,60;3,60
165,0;3,60;3,61
166,0;3,61;3,62
167,0;3,62;3,63
168,0;3,64;3,64
169,0;3,67;3,66
170,0;3,67;3,67
171,0;3,66;3,67
172,0;3,66;3,67
173,0;3,66;3,68
174,0;3,67;3,69
175,0;3,68;3,69
176,0;3,69;3,70
177,0;3,70;3,71
178,0;3,68;3,70
179,0;3,67;3,70
180,0;3,70;3,72
181,0;3,72;3,74
182,0;3,74;3,75
183,0;3,75;3,76
184,0;3,76;3,77
185,0;3,76;3,77
186,0;3,76;3,78
187,0;3,77;3,78
188,0;3,79;3,80
189,0;3,82;3,82
190,0;3,81;3,81
191,0;3,80;3,81
192,0;3,79;3,81
193,0;3,80;3,81
194,0;3,80;3,82
195,0;3,81;3,82
196,0;3,82;3,83
197,0;3,82;3,83
198,0;3,79;3,82
199,0;3,79;3,82
200,0;3,82;3,84
201,0;3,84;3,86
202,0;3,85;3,86
203,0;3,86;3,87
204,0;3,86;3,87
205,0;3,86;3,87
206,0;3,86;3,88
207,0;3,87;3,88
208,0;3,89;3,90
209,0;3,91;3,91
210,0;3,91;3,91
211,0;3,89;3,90
212,0;3,88;3,90
213,0;3,88;3,90
214,0;3,89;3,91
215,0;3,90;3,91
216,0;3,90;3,91
217,0;3,89;3,91
218,0;3,87;3,90
219,0;3,87;3,90
220,0;3,90;3,92
221,0;3,92;3,93
222,0;3,93;3,94
223,0;3,93;3,94
224,0;3,93;3,95
225,0;3,93;3,95
226,0;3,93;3,95
227,0;3,94;3,95
228,0;3,96;3,97
229,0;3,98;3,98
230,0;3,96;3,97
231,0;3,95;3,96
232,0;3,94;3,96
233,0;3,94;3,96
234,0;3,95;3,96
235,0;3,95;3,97
236,0;3,95;3,97
237,0;3,94;3,96
238,0;3,92;3,95
239,0;3,92;3,95
240,0;3,95;3,97
241,0;3,96;3,98
242,0;3,98;3,99
243,0;3,97;3,99
244,0;3,97;3,99
