time [ms];channel 1 [bar];channel 2 [bar]
0.0;-0.62;-0.62
1.0;-0.63;-0.63
2.0;-0.63;-0.63
3.0;-0.63;-0.63
4.0;-0.62;-0.63
5.0;-0.61;-0.62
6.0;-0.59;-0.60
7.0;-0.60;-0.61
8.0;-0.62;-0.62
9.0;-0.63;-0.63
10.0;-0.65;-0.64
11.0;-0.64;-0.63
12.0;-0.63;-0.63
13.0;-0.63;-0.62
14.0;-0.63;-0.63
15.0;-0.65;-0.65
16.0;-0.67;-0.64
17.0;-0.66;-0.65
18.0;-0.64;-0.63
19.0;-0.63;-0.63
20.0;-0.62;-0.63
21.0;-0.63;-0.63
22.0;-0.63;-0.63
23.0;-0.62;-0.63
24.0;-0.63;-0.63
25.0;-0.61;-0.61
26.0;-0.59;-0.60
27.0;-0.60;-0.61
28.0;-0.62;-0.63
29.0;-0.63;-0.63
30.0;-0.63;-0.63
31.0;-0.60;-0.61
32.0;-0.58;-0.58
33.0;-0.54;-0.55
34.0;-0.52;-0.49
35.0;-0.49;-0.53
36.0;-0.51;-0.50
37.0;-0.51;-0.49
38.0;-0.48;-0.40
39.0;-0.45;-0.42
40.0;-0.40;-0.39
41.0;-0.38;-0.37
42.0;-0.38;-0.36
43.0;-0.35;-0.34
44.0;-0.33;-0.33
45.0;-0.31;-0.31
46.0;-0.29;-0.27
47.0;-0.27;-0.26
48.0;-0.29;-0.28
49.0;-0.28;-0.26
50.0;-0.28;-0.26
51.0;-0.19;-0.23
52.0;-0.25;-0.23
53.0;-0.23;-0.22
54.0;-0.18;-0.20
55.0;-0.24;-0.23
56.0;-0.24;-0.22
57.0;-0.21;-0.20
58.0;-0.19;-0.18
59.0;-0.16;-0.17
60.0;-0.16;-0.15
61.0;-0.15;-0.16
62.0;-0.15;-0.15
63.0;-0.13;-0.14
64.0;-0.12;-0.13
65.0;-0.10;-0.10
66.0;-0.08;-0.09
67.0;-0.09;-0.10
68.0;-0.10;-0.10
69.0;-0.10;-0.10
70.0;-0.10;-0.10
71.0;-0.09;-0.09
72.0;-0.09;-0.08
73.0;-0.08;-0.08
74.0;-0.08;-0.07
75.0;-0.09;-0.08
76.0;-0.10;-0.08
77.0;-0.08;-0.07
78.0;-0.05;-0.05
79.0;-0.04;-0.04
80.0;-0.03;-0.03
81.0;-0.03;-0.03
82.0;-0.02;-0.03
83.0;-0.02;-0.02
84.0;-0.02;-0.02
85.0;0.01;0.00
86.0;0.02;0.01
87.0;0.01;0.00
88.0;-0.01;-0.01
89.0;-0.01;-0.01
90.0;-0.01;-0.01
91.0;0.00;0.00
92.0;0.00;0.00
93.0;0.00;0.00
94.0;0.00;0.00
95.0;-0.03;-0.01
96.0;-0.02;-0.01
97.0;0.00;0.00
98.0;0.01;0.02
99.0;0.12;0.14
100.0;0.44;-0.34
101.0;0.43;0.62
102.0;0.59;0.56
103.0;0.64;0.85
104.0;0.70;0.96
105.0;0.86;0.90
106.0;1.04;1.06
107.0;1.12;1.03
108.0;1.13;1.11
109.0;1.21;1.16
110.0;1.29;1.18
111.0;1.36;1.30
112.0;1.43;1.44
113.0;1.51;1.50
114.0;1.61;1.59
115.0;1.66;1.66
116.0;1.74;1.74
117.0;1.87;1.85
118.0;1.95;1.93
119.0;2.05;2.03
120.0;2.12;2.12
121.0;2.21;2.19
122.0;2.29;2.27
123.0;2.38;2.36
124.0;2.47;2.44
125.0;2.56;2.53
126.0;2.62;2.61
127.0;2.68;2.66
128.0;2.74;2.73
129.0;2.81;2.80
130.0;2.88;2.88
131.0;2.96;2.95
132.0;3.04;3.03
133.0;3.11;3.10
134.0;3.16;3.16
135.0;3.21;3.22
136.0;3.29;3.29
137.0;3.38;3.37
138.0;3.45;3.45
139.0;3.51;3.51
140.0;3.57;3.57
141.0;3.63;3.62
142.0;3.69;3.68
143.0;3.74;3.74
144.0;3.81;3.81
145.0;3.88;3.87
146.0;3.92;3.91
147.0;3.94;3.94
148.0;3.98;3.98
149.0;4.02;4.03
150.0;4.07;4.08
151.0;4.11;4.12
152.0;4.15;4.16
153.0;4.18;4.20
154.0;4.21;4.23
155.0;4.23;4.25
156.0;4.28;4.29
157.0;4.32;4.34
158.0;4.37;4.38
159.0;4.40;4.41
160.0;4.43;4.44
161.0;4.46;4.47
162.0;4.48;4.50
163.0;4.52;4.53
164.0;4.57;4.57
165.0;4.60;4.60
166.0;4.60;4.61
167.0;4.61;4.63
168.0;4.63;4.64
169.0;4.64;4.67
170.0;4.67;4.69
171.0;4.69;4.71
172.0;4.71;4.73
173.0;4.73;4.75
174.0;4.73;4.76
175.0;4.73;4.77
176.0;4.76;4.80
177.0;4.80;4.83
178.0;4.83;4.85
179.0;4.84;4.86
180.0;4.86;4.88
181.0;4.87;4.90
182.0;4.89;4.91
183.0;4.91;4.93
184.0;4.95;4.96
185.0;4.96;4.97
186.0;4.96;4.97
187.0;4.95;4.98
188.0;4.96;4.98
189.0;4.96;4.99
190.0;4.98;5.00
191.0;4.99;5.02
192.0;5.00;5.03
193.0;5.00;5.03
194.0;4.99;5.03
195.0;5.00;5.03
196.0;5.02;5.06
197.0;5.05;5.07
198.0;5.06;5.09
199.0;5.07;5.09
200.0;5.07;5.10
201.0;5.08;5.10
202.0;5.09;5.11
203.0;5.10;5.12
204.0;5.13;5.15
205.0;5.13;5.15
206.0;5.12;5.14
207.0;5.11;5.13
208.0;5.10;5.13
209.0;5.11;5.14
210.0;5.11;5.14
211.0;5.12;5.15
212.0;5.12;5.15
213.0;5.12;5.15
214.0;5.10;5.13
215.0;5.10;5.14
216.0;5.12;5.15
217.0;5.14;5.16
218.0;5.14;5.17
219.0;5.14;5.17
220.0;5.14;5.17
221.0;5.14;5.17
222.0;5.15;5.18
223.0;5.16;5.19
224.0;5.19;5.20
225.0;5.18;5.19
226.0;5.16;5.18
