time [ms];channel 1 [bar];channel 2 [bar]
0.0;-0.63;-0.62
1.0;-0.63;-0.62
2.0;-0.63;-0.62
3.0;-0.64;-0.63
4.0;-0.66;-0.64
5.0;-0.67;-0.65
6.0;-0.65;-0.64
7.0;-0.63;-0.62
8.0;-0.62;-0.62
9.0;-0.62;-0.62
10.0;-0.62;-0.62
11.0;-0.62;-0.62
12.0;-0.62;-0.62
13.0;-0.61;-0.62
14.0;-0.59;-0.60
15.0;-0.58;-0.59
16.0;-0.60;-0.61
17.0;-0.62;-0.63
18.0;-0.64;-0.62
19.0;-0.63;-0.62
20.0;-0.63;-0.62
21.0;-0.63;-0.63
22.0;-0.63;-0.62
23.0;-0.64;-0.63
24.0;-0.66;-0.64
25.0;-0.67;-0.65
26.0;-0.65;-0.64
27.0;-0.63;-0.62
28.0;-0.62;-0.61
29.0;-0.62;-0.62
30.0;-0.61;-0.61
31.0;-0.60;-0.62
32.0;-0.60;-0.51
33.0;-0.55;-0.55
34.0;-0.50;-0.46
35.0;-0.41;-0.46
36.0;-0.48;-0.46
37.0;-0.44;-0.38
38.0;-0.44;-0.40
39.0;-0.37;-0.36
40.0;-0.39;-0.36
41.0;-0.35;-0.33
42.0;-0.33;-0.31
43.0;-0.34;-0.33
44.0;-0.33;-0.32
45.0;-0.27;-0.28
46.0;-0.31;-0.25
47.0;-0.27;-0.26
48.0;-0.23;-0.23
49.0;-0.24;-0.26
50.0;-0.23;-0.22
51.0;-0.21;-0.19
52.0;-0.21;-0.20
53.0;-0.19;-0.19
54.0;-0.16;-0.17
55.0;-0.15;-0.16
56.0;-0.17;-0.17
57.0;-0.18;-0.17
58.0;-0.17;-0.16
59.0;-0.15;-0.14
60.0;-0.16;-0.15
61.0;-0.15;-0.13
62.0;-0.14;-0.13
63.0;-0.15;-0.13
64.0;-0.16;-0.13
65.0;-0.15;-0.12
66.0;-0.10;-0.11
67.0;-0.10;-0.09
68.0;-0.09;-0.09
69.0;-0.09;-0.08
70.0;-0.08;-0.08
71.0;-0.08;-0.08
72.0;-0.07;-0.07
73.0;-0.05;-0.05
74.0;-0.03;-0.04
75.0;-0.03;-0.03
76.0;-0.04;-0.04
77.0;-0.05;-0.05
78.0;-0.05;-0.05
79.0;-0.05;-0.04
80.0;-0.04;-0.03
81.0;-0.04;-0.03
82.0;-0.03;-0.03
83.0;-0.04;-0.03
84.0;-0.06;-0.04
85.0;-0.05;-0.03
86.0;-0.03;-0.02
87.0;-0.01;-0.01
88.0;-0.01;0.00
89.0;0.00;0.00
90.0;0.00;0.00
91.0;0.00;0.00
92.0;0.01;0.01
93.0;0.03;0.02
94.0;0.05;0.03
95.0;0.04;0.03
96.0;0.02;0.02
97.0;0.00;0.01
98.0;0.21;0.23
99.0;0.49;0.52
100.0;0.69;0.35
101.0;0.79;0.72
102.0;0.92;1.11
103.0;0.95;1.01
104.0;1.14;1.10
105.0;1.09;1.16
106.0;1.27;1.28
107.0;1.36;1.36
108.0;1.44;1.41
109.0;1.50;1.49
110.0;1.57;1.55
111.0;1.67;1.63
112.0;1.76;1.74
113.0;1.83;1.84
114.0;1.96;1.91
115.0;2.03;2.05
116.0;2.11;2.11
117.0;2.21;2.18
118.0;2.31;2.28
119.0;2.42;2.40
120.0;2.52;2.52
121.0;2.62;2.60
122.0;2.71;2.71
123.0;2.79;2.80
124.0;2.88;2.90
125.0;3.00;3.02
126.0;3.13;3.12
127.0;3.24;3.24
128.0;3.35;3.33
129.0;3.44;3.43
130.0;3.54;3.54
131.0;3.64;3.64
132.0;3.74;3.74
133.0;3.85;3.84
134.0;3.94;3.94
135.0;4.01;4.01
136.0;4.06;4.08
137.0;4.14;4.16
138.0;4.22;4.23
139.0;4.29;4.31
140.0;4.36;4.37
141.0;4.40;4.42
142.0;4.46;4.48
143.0;4.48;4.52
144.0;4.53;4.56
145.0;4.60;4.62
146.0;4.65;4.67
147.0;4.70;4.71
148.0;4.73;4.75
149.0;4.76;4.78
150.0;4.79;4.81
151.0;4.83;4.84
152.0;4.86;4.87
153.0;4.91;4.91
154.0;4.94;4.94
155.0;4.95;4.96
156.0;4.95;4.97
157.0;4.97;4.99
158.0;4.99;5.01
159.0;5.01;5.04
160.0;5.03;5.06
161.0;5.05;5.08
162.0;5.06;5.09
163.0;5.05;5.09
164.0;5.07;5.12
165.0;5.12;5.15
166.0;5.15;5.18
167.0;5.17;5.19
168.0;5.18;5.21
169.0;5.19;5.22
170.0;5.21;5.24
171.0;5.22;5.25
172.0;5.25;5.27
173.0;5.28;5.30
174.0;5.29;5.31
175.0;5.29;5.31
176.0;5.28;5.31
177.0;5.29;5.32
178.0;5.30;5.33
179.0;5.31;5.34
180.0;5.32;5.35
181.0;5.33;5.36
182.0;5.32;5.35
183.0;5.30;5.35
184.0;5.32;5.37
185.0;5.35;5.39
186.0;5.37;5.40
187.0;5.38;5.41
188.0;5.38;5.41
189.0;5.38;5.42
190.0;5.39;5.42
191.0;5.39;5.42
192.0;5.41;5.43
193.0;5.43;5.45
194.0;5.43;5.45
195.0;5.41;5.44
196.0;5.40;5.43
197.0;5.39;5.43
198.0;5.40;5.43
199.0;5.40;5.43
200.0;5.40;5.43
201.0;5.39;5.43
202.0;5.37;5.42
203.0;5.35;5.40
204.0;5.37;5.41
205.0;5.39;5.43
206.0;5.40;5.43
207.0;5.40;5.43
208.0;5.39;5.42
209.0;5.39;5.42
210.0;5.39;5.42
211.0;5.38;5.41
212.0;5.39;5.42
213.0;5.41;5.43
214.0;5.39;5.42
215.0;5.37;5.40
216.0;5.36;5.39
217.0;5.35;5.39
218.0;5.35;5.39
219.0;5.35;5.38
220.0;5.34;5.38
221.0;5.33;5.37
222.0;5.30;5.35
223.0;5.29;5.34
224.0;5.30;5.35
225.0;5.31;5.35
226.0;5.32;5.35
227.0;5.31;5.35
228.0;5.31;5.34
229.0;5.30;5.33
230.0;5.29;5.33
231.0;5.29;5.32
232.0;5.30;5.33
233.0;5.31;5.33
234.0;5.29;5.31
235.0;5.26;5.30
236.0;5.25;5.28
237.0;5.24;5.28
238.0;5.23;5.27
239.0;5.23;5.26
240.0;5.21;5.25
241.0;5.20;5.24
242.0;5.17;5.22
243.0;5.16;5.21
244.0;5.17;5.21
245.0;5.18;5.22
246.0;5.18;5.21
247.0;5.17;5.21
248.0;5.17;5.20
249.0;5.16;5.19
250.0;5.15;5.18
251.0;5.14;5.18
252.0;5.16;5.18
253.0;5.16;5.18
254.0;5.14;5.17
255.0;5.11;5.15
256.0;5.10;5.13
257.0;5.09;5.12
258.0;5.08;5.12
259.0;5.08;5.11
260.0;5.07;5.10
261.0;5.05;5.09
262.0;5.02;5.07
263.0;5.01;5.06
264.0;5.03;5.07
265.0;5.03;5.07
266.0;5.03;5.06
267.0;5.02;5.05
268.0;5.01;5.05
269.0;5.01;5.04
270.0;5.00;5.03
271.0;4.99;5.03
272.0;5.01;5.03
273.0;5.01;5.03
274.0;4.98;5.01
275.0;4.96;4.99
276.0;4.94;4.98
277.0;4.94;4.98
278.0;4.93;4.96
279.0;4.92;4.96
280.0;4.91;4.95
281.0;4.89;4.93
282.0;4.86;4.91
283.0;4.87;4.91
284.0;4.88;4.92
285.0;4.88;4.92
286.0;4.88;4.92
287.0;4.87;4.90
288.0;4.86;4.90
289.0;4.86;4.89
290.0;4.85;4.88
291.0;4.85;4.88
292.0;4.87;4.89
293.0;4.86;4.88
294.0;4.83;4.86
295.0;4.81;4.84
296.0;4.80;4.83
297.0;4.79;4.83
298.0;4.79;4.82
299.0;4.78;4.81
300.0;4.77;4.80
301.0;4.74;4.78
302.0;4.71;4.77
303.0;4.72;4.77
304.0;4.74;4.77
305.0;4.74;4.77
306.0;4.74;4.77
307.0;4.73;4.76
308.0;4.72;4.75
309.0;4.71;4.74
310.0;4.71;4.74
311.0;4.71;4.74
312.0;4.72;4.74
313.0;4.71;4.73
314.0;4.68;4.71
315.0;4.66;4.70
316.0;4.65;4.69
317.0;4.65;4.68
318.0;4.64;4.68
319.0;4.63;4.67
320.0;4.62;4.66
321.0;4.59;4.64
322.0;4.57;4.62
323.0;4.58;4.63
324.0;4.59;4.63
325.0;4.60;4.63
326.0;4.59;4.62
327.0;4.58;4.62
328.0;4.58;4.61
329.0;4.57;4.60
330.0;4.56;4.60
331.0;4.57;4.60
332.0;4.58;4.60
333.0;4.56;4.58
334.0;4.54;4.57
335.0;4.52;4.55
336.0;4.51;4.55
337.0;4.51;4.54
338.0;4.50;4.54
339.0;4.49;4.53
340.0;4.48;4.52
341.0;4.45;4.50
342.0;4.44;4.48
343.0;4.45;4.49
344.0;4.46;4.50
345.0;4.46;4.49
346.0;4.46;4.49
347.0;4.45;4.48
348.0;4.44;4.47
349.0;4.43;4.46
350.0;4.43;4.46
351.0;4.44;4.47
352.0;4.45;4.47
353.0;4.43;4.45
354.0;4.40;4.43
355.0;4.38;4.42
356.0;4.38;4.42
357.0;4.37;4.41
358.0;4.37;4.40
359.0;4.36;4.40
360.0;4.35;4.38
361.0;4.32;4.36
362.0;4.31;4.36
363.0;4.32;4.36
364.0;4.33;4.37
365.0;4.33;4.36
366.0;4.33;4.36
367.0;4.32;4.35
368.0;4.31;4.34
369.0;4.30;4.34
370.0;4.30;4.33
371.0;4.32;4.34
372.0;4.32;4.34
373.0;4.30;4.32
374.0;4.27;4.30
375.0;4.26;4.29
376.0;4.25;4.29
377.0;4.25;4.28
378.0;4.24;4.28
379.0;4.24;4.27
380.0;4.22;4.26
381.0;4.19;4.23
382.0;4.19;4.23
383.0;4.20;4.24
384.0;4.21;4.24
385.0;4.21;4.24
386.0;4.20;4.23
387.0;4.19;4.22
388.0;4.19;4.22
389.0;4.18;4.21
390.0;4.18;4.21
391.0;4.20;4.22
392.0;4.20;4.21
393.0;4.17;4.20
394.0;4.15;4.18
395.0;4.14;4.17
396.0;4.13;4.17
397.0;4.13;4.16
398.0;4.12;4.15
399.0;4.12;4.15
400.0;4.10;4.13
401.0;4.07;4.11
402.0;4.07;4.11
403.0;4.09;4.12
404.0;4.09;4.12
405.0;4.09;4.12
406.0;4.09;4.11
407.0;4.08;4.11
408.0;4.07;4.10
409.0;4.07;4.10
410.0;4.07;4.10
411.0;4.09;4.10
412.0;4.08;4.10
413.0;4.05;4.08
414.0;4.03;4.06
415.0;4.03;4.06
416.0;4.02;4.05
417.0;4.02;4.05
418.0;4.01;4.04
419.0;4.00;4.03
420.0;3.98;4.02
421.0;3.96;4.00
422.0;3.97;4.01
423.0;3.98;4.02
424.0;3.99;4.01
425.0;3.98;4.01
426.0;3.98;4.00
427.0;3.97;4.00
428.0;3.96;3.99
429.0;3.96;3.99
430.0;3.97;3.99
431.0;3.99;4.00
432.0;3.97;3.98
433.0;3.94;3.97
434.0;3.92;3.95
435.0;3.92;3.95
436.0;3.91;3.94
437.0;3.91;3.94
438.0;3.91;3.93
439.0;3.90;3.93
440.0;3.87;3.91
441.0;3.85;3.89
442.0;3.87;3.90
443.0;3.88;3.91
444.0;3.88;3.91
445.0;3.88;3.90
446.0;3.87;3.90
447.0;3.87;3.89
448.0;3.86;3.89
449.0;3.86;3.89
450.0;3.87;3.89
451.0;3.88;3.89
452.0;3.86;3.88
453.0;3.84;3.86
454.0;3.82;3.85
455.0;3.82;3.85
456.0;3.82;3.84
457.0;3.81;3.84
458.0;3.80;3.83
459.0;3.80;3.83
460.0;3.77;3.80
461.0;3.75;3.80
462.0;3.77;3.80
463.0;3.78;3.81
464.0;3.78;3.81
465.0;3.78;3.80
466.0;3.77;3.80
467.0;3.77;3.79
468.0;3.76;3.79
469.0;3.76;3.79
470.0;3.78;3.79
471.0;3.78;3.80
472.0;3.76;3.78
473.0;3.74;3.76
474.0;3.72;3.75
475.0;3.72;3.75
476.0;3.72;3.75
477.0;3.71;3.74
478.0;3.71;3.74
479.0;3.70;3.73
480.0;3.67;3.70
481.0;3.66;3.70
482.0;3.68;3.71
483.0;3.69;3.72
484.0;3.69;3.71
485.0;3.69;3.71
486.0;3.68;3.70
487.0;3.67;3.70
488.0;3.67;3.69
489.0;3.67;3.69
490.0;3.69;3.70
491.0;3.69;3.70
492.0;3.67;3.68
493.0;3.64;3.66
494.0;3.63;3.66
495.0;3.63;3.65
496.0;3.62;3.65
497.0;3.62;3.65
498.0;3.61;3.64

