time [ms];channel 1 [bar];channel 2 [bar]
0,0;-0,62;-0,62
1,0;-0,62;-0,63
2,0;-0,62;-0,62
3,0;-0,62;-0,62
4,0;-0,60;-0,61
5,0;-0,59;-0,60
6,0;-0,61;-0,62
7,0;-0,62;-0,63
8,0;-0,63;-0,63
9,0;-0,63;-0,63
10,0;-0,63;-0,62
11,0;-0,64;-0,63
12,0;-0,63;-0,63
13,0;-0,63;-0,63
14,0;-0,66;-0,65
15,0;-0,66;-0,64
16,0;-0,65;-0,63
17,0;-0,63;-0,63
18,0;-0,62;-0,62
19,0;-0,62;-0,62
20,0;-0,62;-0,63
21,0;-0,62;-0,63
22,0;-0,62;-0,62
23,0;-0,62;-0,62
24,0;-0,59;-0,60
25,0;-0,59;-0,60
26,0;-0,61;-0,62
27,0;-0,62;-0,63
28,0;-0,63;-0,63
29,0;-0,63;-0,63
30,0;-0,62;-0,63
31,0;-0,59;-0,60
32,0;-0,58;-0,56
33,0;-0,57;-0,51
34,0;-0,56;-0,53
35,0;-0,53;-0,51
36,0;-0,52;-0,47
37,0;-0,47;-0,43
38,0;-0,43;-0,41
39,0;-0,43;-0,39
40,0;-0,40;-0,37
41,0;-0,35;-0,35
42,0;-0,37;-0,30
43,0;-0,30;-0,30
44,0;-0,28;-0,27
45,0;-0,29;-0,27
46,0;-0,30;-0,27
47,0;-0,26;-0,25
48,0;-0,26;-0,26
49,0;-0,26;-0,26
50,0;-0,24;-0,24
51,0;-0,25;-0,24
52,0;-0,22;-0,23
53,0;-0,22;-0,21
54,0;-0,24;-0,23
55,0;-0,22;-0,21
56,0;-0,18;-0,19
57,0;-0,16;-0,16
58,0;-0,16;-0,16
59,0;-0,14;-0,15
60,0;-0,14;-0,15
61,0;-0,14;-0,14
62,0;-0,13;-0,13
63,0;-0,11;-0,11
64,0;-0,08;-0,10
65,0;-0,08;-0,10
66,0;-0,10;-0,11
67,0;-0,10;-0,11
68,0;-0,10;-0,10
69,0;-0,09;-0,09
70,0;-0,08;-0,08
71,0;-0,08;-0,08
72,0;-0,08;-0,07
73,0;-0,08;-0,08
74,0;-0,09;-0,08
75,0;-0,08;-0,08
76,0;-0,06;-0,05
77,0;-0,04;-0,04
78,0;-0,03;-0,03
79,0;-0,02;-0,03
80,0;-0,02;-0,03
81,0;-0,02;-0,02
82,0;-0,01;-0,02
83,0;0,01;0,00
84,0;0,03;0,01
85,0;0,02;0,01
86,0;0,00;0,00
87,0;-0,01;-0,01
88,0;0,00;0,00
89,0;0,00;0,00
90,0;0,01;0,00
91,0;0,00;0,00
92,0;0,01;0,01
93,0;-0,01;0,00
94,0;-0,02;-0,02
95,0;-0,01;0,00
96,0;0,01;0,01
97,0;0,02;0,02
98,0;0,02;0,02
99,0;0,35;0,57
100,0;0,34;0,35
101,0;0,66;0,53
102,0;0,77;0,78
103,0;0,83;0,76
104,0;0,84;0,90
105,0;0,96;0,93
106,0;1,00;0,93
107,0;1,10;1,17
108,0;1,17;1,14
109,0;1,23;1,26
110,0;1,32;1,35
111,0;1,35;1,38
112,0;1,46;1,46
113,0;1,53;1,53
114,0;1,59;1,62
115,0;1,71;1,70
116,0;1,77;1,77
117,0;1,87;1,86
118,0;1,93;1,94
119,0;2,01;2,02
120,0;2,08;2,09
121,0;2,17;2,16
122,0;2,24;2,24
123,0;2,34;2,34
124,0;2,42;2,42
125,0;2,48;2,48
126,0;2,54;2,54
127,0;2,60;2,61
128,0;2,68;2,68
129,0;2,75;2,76
130,0;2,81;2,82
131,0;2,89;2,88
132,0;2,93;2,96
133,0;2,97;2,99
134,0;3,03;3,05
135,0;3,11;3,12
136,0;3,18;3,20
137,0;3,24;3,26
138,0;3,30;3,31
139,0;3,34;3,36
140,0;3,40;3,41
141,0;3,44;3,45
142,0;3,49;3,50
143,0;3,56;3,56
144,0;3,60;3,60
145,0;3,61;3,63
146,0;3,64;3,65
147,0;3,67;3,68
148,0;3,70;3,72
149,0;3,74;3,75
150,0;3,77;3,79
151,0;3,80;3,82
152,0;3,82;3,84
153,0;3,82;3,85
154,0;3,85;3,88
155,0;3,90;3,92
156,0;3,94;3,96
157,0;3,96;3,98
158,0;3,99;4,01
159,0;4,01;4,03
160,0;4,03;4,05
161,0;4,06;4,08
162,0;4,10;4,12
163,0;4,13;4,14
164,0;4,15;4,17
165,0;4,15;4,17
166,0;4,16;4,19
167,0;4,17;4,20
168,0;4,20;4,23
169,0;4,22;4,25
170,0;4,24;4,27
171,0;4,26;4,29
172,0;4,26;4,30
173,0;4,26;4,30
174,0;4,28;4,32
175,0;4,32;4,36
176,0;4,35;4,38
177,0;4,37;4,40
178,0;4,38;4,41
179,0;4,40;4,43
180,0;4,41;4,44
181,0;4,43;4,46
182,0;4,46;4,48
183,0;4,49;4,51
184,0;4,49;4,52
185,0;4,48;4,51
186,0;4,49;4,52
187,0;4,50;4,53
188,0;4,51;4,55
189,0;4,52;4,56
190,0;4,54;4,57
191,0;4,54;4,58
192,0;4,54;4,58
193,0;4,53;4,58
194,0;4,55;4,60
195,0;4,58;4,62
196,0;4,60;4,64
197,0;4,62;4,65
198,0;4,62;4,66
199,0;4,63;4,67
200,0;4,64;4,67
201,0;4,65;4,69
202,0;4,68;4,71
203,0;4,70;4,72
204,0;4,70;4,72
205,0;4,68;4,72
206,0;4,68;4,72
207,0;4,68;4,73
208,0;4,70;4,73
209,0;4,70;4,74
210,0;4,71;4,75
211,0;4,72;4,75
212,0;4,70;4,75
213,0;4,70;4,75
214,0;4,72;4,76
215,0;4,74;4,78
216,0;4,76;4,79
217,0;4,76;4,79
218,0;4,76;4,80
219,0;4,76;4,80
220,0;4,77;4,81
221,0;4,78;4,81
222,0;4,81;4,84
223,0;4,82;4,84
224,0;4,80;4,83
225,0;4,79;4,83
226,0;4,78;4,82
227,0;4,78;4,83
228,0;4,79;4,83
229,0;4,79;4,84
230,0;4,80;4,84
231,0;4,79;4,84
232,0;4,77;4,82
233,0;4,77;4,82
234,0;4,78;4,83
235,0;4,80;4,85
236,0;4,82;4,85
237,0;4,82;4,86
238,0;4,82;4,86
239,0;4,82;4,86
240,0;4,82;4,86
241,0;4,83;4,86
242,0;4,85;4,88
243,0;4,86;4,88
244,0;4,84;4,87
245,0;4,82;4,86
246,0;4,82;4,86
247,0;4,82;4,86
248,0;4,82;4,86
249,0;4,82;4,86
250,0;4,82;4,86
251,0;4,82;4,86
252,0;4,79;4,85
253,0;4,79;4,85
254,0;4,81;4,86
255,0;4,82;4,87
256,0;4,83;4,87
257,0;4,83;4,87
258,0;4,83;4,87
259,0;4,83;4,87
260,0;4,83;4,87
261,0;4,84;4,88
262,0;4,86;4,89
263,0;4,86;4,89
264,0;4,84;4,87
265,0;4,82;4,87
266,0;4,82;4,86
267,0;4,82;4,86
268,0;4,82;4,86
269,0;4,82;4,86
270,0;4,82;4,86
271,0;4,81;4,86
272,0;4,79;4,84
273,0;4,79;4,84
274,0;4,81;4,86
275,0;4,82;4,87
276,0;4,83;4,87
277,0;4,82;4,86
278,0;4,82;4,86
279,0;4,82;4,86
280,0;4,82;4,86
281,0;4,84;4,87
282,0;4,86;4,88
283,0;4,84;4,88
284,0;4,82;4,86
285,0;4,81;4,86
286,0;4,80;4,85
287,0;4,80;4,85
288,0;4,81;4,85
289,0;4,81;4,85
290,0;4,80;4,85
291,0;4,79;4,84
292,0;4,77;4,83
293,0;4,78;4,83
294,0;4,80;4,85
295,0;4,81;4,85
296,0;4,81;4,85
297,0;4,81;4,85
298,0;4,80;4,85
299,0;4,80;4,85
300,0;4,80;4,85
301,0;4,82;4,86
302,0;4,84;4,87
303,0;4,82;4,86
304,0;4,80;4,84
305,0;4,79;4,83
306,0;4,78;4,83
307,0;4,78;4,83
308,0;4,78;4,83
309,0;4,78;4,83
310,0;4,78;4,82
311,0;4,76;4,81
312,0;4,74;4,80
313,0;4,75;4,81
314,0;4,76;4,82
315,0;4,78;4,82
316,0;4,78;4,82
317,0;4,77;4,82
318,0;4,77;4,81
319,0;4,77;4,81
320,0;4,77;4,81
321,0;4,79;4,83
322,0;4,80;4,83
323,0;4,78;4,82
