time [ms];channel 1 [bar];channel 2 [bar]
0.0;-0.71;-0.70
0.4;-0.71;-0.71
0.8;-0.71;-0.71
1.2;-0.72;-0.71
1.6;-0.72;-0.71
2.0;-0.73;-0.72
2.4;-0.74;-0.72
2.8;-0.75;-0.72
3.2;-0.75;-0.73
3.6;-0.74;-0.73
4.0;-0.74;-0.72
4.4;-0.73;-0.72
4.8;-0.72;-0.71
5.2;-0.71;-0.70
5.6;-0.71;-0.70
6.0;-0.70;-0.70
6.4;-0.70;-0.70
6.8;-0.70;-0.70
7.2;-0.70;-0.70
7.6;-0.70;-0.70
8.0;-0.70;-0.70
8.4;-0.70;-0.70
8.8;-0.70;-0.70
9.2;-0.70;-0.71
9.6;-0.70;-0.71
10.0;-0.71;-0.69
10.4;-0.70;-0.70
10.8;-0.70;-0.69
11.2;-0.70;-0.70
11.6;-0.69;-0.69
12.0;-0.69;-0.68
12.4;-0.68;-0.68
12.8;-0.66;-0.68
13.2;-0.67;-0.68
13.6;-0.68;-0.68
14.0;-0.68;-0.68
14.4;-0.69;-0.68
14.8;-0.70;-0.70
15.2;-0.70;-0.70
15.6;-0.71;-0.71
16.0;-0.71;-0.71
16.4;-0.71;-0.70
16.8;-0.71;-0.71
17.2;-0.71;-0.71
17.6;-0.71;-0.70
18.0;-0.71;-0.70
18.4;-0.71;-0.71
18.8;-0.71;-0.71
19.2;-0.71;-0.70
19.6;-0.71;-0.71
20.0;-0.71;-0.70
20.4;-0.71;-0.70
20.8;-0.71;-0.71
21.2;-0.72;-0.71
21.6;-0.72;-0.71
22.0;-0.73;-0.72
22.4;-0.74;-0.72
22.8;-0.75;-0.73
23.2;-0.75;-0.73
23.6;-0.74;-0.72
24.0;-0.73;-0.72
24.4;-0.73;-0.71
24.8;-0.72;-0.71
25.2;-0.71;-0.71
25.6;-0.71;-0.70
26.0;-0.70;-0.70
26.4;-0.70;-0.69
26.8;-0.70;-0.70
27.2;-0.70;-0.70
27.6;-0.70;-0.69
28.0;-0.70;-0.70
28.4;-0.71;-0.70
28.8;-0.71;-0.70
29.2;-0.70;-0.70
29.6;-0.70;-0.70
30.0;-0.70;-0.69
30.4;-0.69;-0.66
30.8;-0.68;-0.69
31.2;-0.69;-0.66
31.6;-0.61;-0.64
32.0;-0.68;-0.59
32.4;-0.62;-0.56
32.8;-0.60;-0.54
33.2;-0.57;-0.58
33.6;-0.50;-0.62
34.0;-0.53;-0.54
34.4;-0.58;-0.55
34.8;-0.48;-0.53
35.2;-0.49;-0.47
35.6;-0.47;-0.44
36.0;-0.50;-0.47
36.4;-0.53;-0.50
36.8;-0.50;-0.50
37.2;-0.46;-0.46
37.6;-0.48;-0.38
38.0;-0.42;-0.42
38.4;-0.44;-0.40
38.8;-0.42;-0.42
39.2;-0.41;-0.41
39.6;-0.39;-0.38
40.0;-0.38;-0.35
40.4;-0.37;-0.34
40.8;-0.38;-0.35
41.2;-0.37;-0.34
41.6;-0.37;-0.36
42.0;-0.38;-0.33
42.4;-0.36;-0.31
42.8;-0.34;-0.32
43.2;-0.28;-0.31
43.6;-0.31;-0.30
44.0;-0.31;-0.30
44.4;-0.29;-0.27
44.8;-0.29;-0.26
45.2;-0.27;-0.25
45.6;-0.23;-0.22
46.0;-0.23;-0.23
46.4;-0.23;-0.23
46.8;-0.24;-0.22
47.2;-0.24;-0.21
47.6;-0.20;-0.17
48.0;-0.19;-0.17
48.4;-0.19;-0.20
48.8;-0.21;-0.21
49.2;-0.19;-0.19
49.6;-0.21;-0.19
50.0;-0.17;-0.16
50.4;-0.16;-0.18
50.8;-0.17;-0.15
51.2;-0.17;-0.18
51.6;-0.13;-0.14
52.0;-0.12;-0.11
52.4;-0.10;-0.10
52.8;-0.10;-0.08
53.2;-0.09;-0.08
53.6;-0.09;-0.12
54.0;-0.11;-0.11
54.4;-0.10;-0.10
54.8;-0.11;-0.13
55.2;-0.13;-0.12
55.6;-0.13;-0.11
56.0;-0.12;-0.12
56.4;-0.13;-0.11
56.8;-0.11;-0.11
57.2;-0.12;-0.09
57.6;-0.12;-0.09
58.0;-0.10;-0.11
58.4;-0.10;-0.09
58.8;-0.09;-0.08
59.2;-0.09;-0.09
59.6;-0.09;-0.09
60.0;-0.09;-0.09
60.4;-0.08;-0.09
60.8;-0.07;-0.09
61.2;-0.08;-0.07
61.6;-0.10;-0.11
62.0;-0.09;-0.12
62.4;-0.10;-0.09
62.8;-0.12;-0.09
63.2;-0.12;-0.09
63.6;-0.11;-0.08
64.0;-0.09;-0.07
64.4;-0.07;-0.06
64.8;-0.06;-0.06
65.2;-0.05;-0.05
65.6;-0.06;-0.04
66.0;-0.05;-0.04
66.4;-0.04;-0.04
66.8;-0.04;-0.04
67.2;-0.03;-0.04
67.6;-0.05;-0.04
68.0;-0.04;-0.04
68.4;-0.04;-0.04
68.8;-0.04;-0.03
69.2;-0.04;-0.03
69.6;-0.04;-0.04
70.0;-0.03;-0.03
70.4;-0.05;-0.05
70.8;-0.04;-0.03
71.2;-0.02;-0.01
71.6;0.00;-0.01
72.0;0.00;-0.02
72.4;0.00;0.00
72.8;0.01;-0.01
73.2;0.01;0.00
73.6;-0.01;-0.01
74.0;-0.01;-0.02
74.4;-0.02;-0.02
74.8;-0.02;-0.02
75.2;-0.02;-0.02
75.6;-0.03;-0.02
76.0;-0.03;-0.03
76.4;-0.03;-0.02
76.8;-0.03;-0.01
77.2;-0.02;-0.02
77.6;-0.02;-0.01
78.0;-0.02;-0.02
78.4;-0.02;-0.01
78.8;-0.02;-0.01
79.2;-0.02;-0.01
79.6;-0.01;-0.01
80.0;-0.01;-0.01
80.4;-0.02;-0.02
80.8;-0.02;-0.02
81.2;-0.03;-0.02
81.6;-0.04;-0.02
82.0;-0.05;-0.04
82.4;-0.05;-0.04
82.8;-0.05;-0.03
83.2;-0.04;-0.03
83.6;-0.03;-0.02
