time [ms];channel 1 [bar];channel 2 [bar]
0.0;-0.65;-0.65
1.0;-0.65;-0.66
2.0;-0.66;-0.66
3.0;-0.66;-0.66
4.0;-0.66;-0.66
5.0;-0.65;-0.66
6.0;-0.63;-0.64
7.0;-0.62;-0.63
8.0;-0.64;-0.65
9.0;-0.66;-0.66
10.0;-0.66;-0.65
11.0;-0.67;-0.67
12.0;-0.66;-0.66
13.0;-0.66;-0.65
14.0;-0.67;-0.67
15.0;-0.67;-0.67
16.0;-0.69;-0.68
17.0;-0.70;-0.68
18.0;-0.68;-0.67
19.0;-0.66;-0.66
20.0;-0.66;-0.66
21.0;-0.66;-0.66
22.0;-0.66;-0.66
23.0;-0.66;-0.66
24.0;-0.65;-0.66
25.0;-0.65;-0.65
26.0;-0.63;-0.64
27.0;-0.62;-0.63
28.0;-0.64;-0.65
29.0;-0.66;-0.66
30.0;-0.66;-0.66
31.0;-0.63;-0.65
32.0;-0.62;-0.67
33.0;-0.58;-0.51
34.0;-0.55;-0.54
35.0;-0.57;-0.47
36.0;-0.56;-0.48
37.0;-0.50;-0.42
38.0;-0.48;-0.41
39.0;-0.37;-0.39
40.0;-0.37;-0.38
41.0;-0.32;-0.33
42.0;-0.32;-0.32
43.0;-0.28;-0.31
44.0;-0.30;-0.30
45.0;-0.27;-0.19
46.0;-0.23;-0.23
47.0;-0.22;-0.24
48.0;-0.22;-0.20
49.0;-0.20;-0.19
50.0;-0.21;-0.18
51.0;-0.19;-0.19
52.0;-0.18;-0.16
53.0;-0.17;-0.14
54.0;-0.15;-0.15
55.0;-0.14;-0.14
56.0;-0.16;-0.13
57.0;-0.16;-0.13
58.0;-0.12;-0.11
59.0;-0.10;-0.09
60.0;-0.08;-0.08
61.0;-0.09;-0.09
62.0;-0.07;-0.08
63.0;-0.06;-0.06
64.0;-0.06;-0.05
65.0;-0.05;-0.06
66.0;-0.01;-0.02
67.0;-0.02;-0.03
68.0;-0.03;-0.04
69.0;-0.04;-0.04
70.0;-0.04;-0.04
71.0;-0.04;-0.03
72.0;-0.03;-0.03
73.0;-0.03;-0.03
74.0;-0.02;-0.02
75.0;-0.03;-0.03
76.0;-0.05;-0.04
77.0;-0.04;-0.04
78.0;-0.02;-0.02
79.0;0.00;-0.01
80.0;0.00;0.00
81.0;0.00;0.00
82.0;0.00;-0.01
83.0;-0.01;-0.01
84.0;0.00;0.00
85.0;0.01;0.01
86.0;0.03;0.02
87.0;0.03;0.01
88.0;0.01;0.00
89.0;0.00;0.00
90.0;0.00;0.00
91.0;0.00;0.00
92.0;0.00;0.00
93.0;0.00;0.00
94.0;0.00;0.00
95.0;-0.02;-0.01
96.0;-0.04;-0.03
97.0;-0.03;-0.02
98.0;-0.01;0.00
99.0;0.15;-0.07
100.0;0.28;0.43
101.0;0.54;0.67
102.0;0.51;0.73
103.0;0.74;0.78
104.0;0.79;0.77
105.0;0.83;0.87
106.0;0.91;1.00
107.0;0.99;0.90
108.0;0.98;0.98
109.0;1.03;0.99
110.0;1.07;1.03
111.0;1.10;1.10
112.0;1.15;1.16
113.0;1.19;1.18
114.0;1.19;1.21
115.0;1.19;1.19
116.0;1.20;1.22
117.0;1.27;1.27
118.0;1.30;1.31
119.0;1.33;1.32
120.0;1.35;1.34
121.0;1.39;1.39
122.0;1.42;1.41
123.0;1.42;1.42
124.0;1.44;1.42
125.0;1.52;1.50
126.0;1.54;1.52
127.0;1.55;1.54
128.0;1.53;1.51
129.0;1.53;1.54
130.0;1.55;1.56
131.0;1.57;1.57
132.0;1.61;1.59
133.0;1.61;1.61
134.0;1.61;1.62
135.0;1.61;1.62
136.0;1.63;1.62
137.0;1.65;1.66
138.0;1.67;1.66
139.0;1.70;1.69
140.0;1.71;1.71
141.0;1.73;1.72
142.0;1.73;1.72
143.0;1.75;1.74
144.0;1.76;1.75
145.0;1.81;1.79
146.0;1.80;1.79
147.0;1.79;1.78
148.0;1.78;1.78
149.0;1.78;1.78
150.0;1.79;1.79
151.0;1.81;1.80
152.0;1.81;1.81
153.0;1.81;1.81
154.0;1.82;1.82
155.0;1.81;1.82
156.0;1.81;1.82
157.0;1.83;1.83
158.0;1.85;1.85
159.0;1.87;1.86
160.0;1.87;1.86
161.0;1.87;1.86
162.0;1.87;1.86
163.0;1.88;1.87
164.0;1.90;1.89
165.0;1.93;1.91
166.0;1.92;1.91
167.0;1.90;1.89
168.0;1.89;1.88
169.0;1.89;1.89
170.0;1.90;1.90
171.0;1.90;1.90
172.0;1.90;1.89
173.0;1.90;1.90
174.0;1.91;1.90
175.0;1.89;1.89
176.0;1.88;1.89
177.0;1.90;1.90
178.0;1.92;1.92
179.0;1.93;1.93
180.0;1.93;1.92
181.0;1.92;1.92
182.0;1.93;1.92
183.0;1.93;1.93
184.0;1.96;1.95
185.0;1.97;1.96
186.0;1.96;1.94
187.0;1.94;1.93
188.0;1.93;1.93
189.0;1.93;1.93
190.0;1.93;1.93
191.0;1.93;1.93
192.0;1.94;1.93
193.0;1.94;1.94
194.0;1.93;1.93
195.0;1.91;1.92
196.0;1.91;1.92
197.0;1.93;1.93
198.0;1.95;1.95
199.0;1.95;1.95
200.0;1.95;1.94
201.0;1.95;1.94
202.0;1.95;1.95
203.0;1.96;1.95
204.0;1.98;1.96
205.0;1.99;1.97
206.0;1.97;1.96
207.0;1.96;1.95
208.0;1.95;1.95
209.0;1.95;1.94
210.0;1.95;1.94
211.0;1.95;1.95
212.0;1.95;1.95
213.0;1.95;1.95
214.0;1.93;1.94
215.0;1.92;1.93
216.0;1.93;1.93
217.0;1.95;1.95
218.0;1.96;1.96
219.0;1.96;1.95
220.0;1.96;1.95
221.0;1.96;1.95
222.0;1.96;1.96
223.0;1.97;1.96
224.0;1.99;1.97
225.0;2.00;1.98
226.0;1.98;1.96
227.0;1.96;1.96
228.0;1.95;1.95
229.0;1.94;1.94
230.0;1.95;1.95
231.0;1.95;1.95
232.0;1.95;1.95
233.0;1.95;1.94
234.0;1.93;1.93
235.0;1.92;1.93
236.0;1.93;1.94
237.0;1.95;1.95
238.0;1.96;1.95
239.0;1.96;1.95
240.0;1.95;1.95
241.0;1.95;1.95
242.0;1.95;1.95
243.0;1.96;1.95
244.0;1.99;1.97
245.0;1.99;1.97
246.0;1.96;1.95
247.0;1.95;1.94
248.0;1.94;1.94
249.0;1.94;1.94
250.0;1.94;1.94
251.0;1.94;1.94
252.0;1.94;1.94
253.0;1.94;1.93
254.0;1.92;1.92
255.0;1.91;1.92
256.0;1.92;1.93
257.0;1.94;1.93
258.0;1.94;1.94
259.0;1.94;1.94
260.0;1.94;1.94
261.0;1.94;1.94
262.0;1.94;1.93
263.0;1.95;1.94
264.0;1.97;1.96
265.0;1.97;1.95
266.0;1.94;1.94
267.0;1.93;1.92
268.0;1.92;1.92
269.0;1.93;1.93
270.0;1.93;1.93
271.0;1.92;1.92
272.0;1.92;1.92
273.0;1.92;1.92
274.0;1.90;1.90
275.0;1.89;1.90
276.0;1.91;1.91
277.0;1.92;1.92
278.0;1.93;1.92
279.0;1.93;1.92
280.0;1.92;1.92
281.0;1.92;1.92
282.0;1.93;1.92
283.0;1.94;1.93
284.0;1.96;1.94
285.0;1.95;1.93
286.0;1.92;1.91
287.0;1.91;1.91
288.0;1.91;1.91
289.0;1.91;1.90
290.0;1.91;1.90
291.0;1.91;1.90
292.0;1.90;1.90
293.0;1.90;1.90
294.0;1.87;1.88
295.0;1.87;1.88
296.0;1.89;1.89
297.0;1.91;1.90
298.0;1.91;1.90
299.0;1.90;1.90
300.0;1.90;1.90
301.0;1.90;1.90
302.0;1.91;1.90
303.0;1.93;1.91
304.0;1.94;1.92
305.0;1.92;1.91
306.0;1.90;1.89
307.0;1.89;1.89
308.0;1.89;1.88
309.0;1.89;1.88
310.0;1.89;1.88
311.0;1.89;1.88
312.0;1.89;1.88
313.0;1.87;1.88
314.0;1.85;1.86
315.0;1.86;1.86
316.0;1.88;1.88
317.0;1.89;1.88
318.0;1.89;1.88
319.0;1.88;1.88
320.0;1.88;1.88
321.0;1.89;1.88
322.0;1.89;1.88
323.0;1.91;1.90
324.0;1.92;1.90
325.0;1.90;1.89
326.0;1.88;1.88
327.0;1.87;1.87
328.0;1.87;1.86
329.0;1.87;1.86
330.0;1.87;1.87
331.0;1.87;1.86
332.0;1.86;1.86
333.0;1.85;1.85
334.0;1.83;1.84
335.0;1.84;1.85
336.0;1.86;1.86
337.0;1.87;1.86
338.0;1.87;1.86
339.0;1.87;1.86
340.0;1.87;1.86
341.0;1.86;1.86
342.0;1.87;1.86
343.0;1.89;1.88
344.0;1.90;1.88
345.0;1.88;1.87
346.0;1.86;1.85
347.0;1.85;1.85
348.0;1.84;1.84
349.0;1.85;1.85
350.0;1.85;1.84
351.0;1.85;1.84
352.0;1.84;1.84
353.0;1.82;1.83
354.0;1.81;1.82
355.0;1.82;1.83
356.0;1.84;1.84
357.0;1.85;1.84
358.0;1.85;1.84
359.0;1.85;1.84
360.0;1.84;1.84
361.0;1.84;1.84
362.0;1.85;1.84
363.0;1.88;1.86
364.0;1.87;1.86
365.0;1.85;1.84
366.0;1.83;1.83
367.0;1.82;1.82
368.0;1.83;1.83
369.0;1.83;1.82
370.0;1.83;1.82
371.0;1.82;1.82
372.0;1.82;1.82
373.0;1.80;1.80
374.0;1.79;1.80
375.0;1.81;1.81
376.0;1.82;1.82
377.0;1.83;1.82
378.0;1.83;1.82
379.0;1.82;1.82
380.0;1.82;1.82
381.0;1.82;1.82
382.0;1.83;1.82
383.0;1.86;1.84
384.0;1.85;1.83
385.0;1.83;1.82
386.0;1.81;1.81
387.0;1.81;1.80
388.0;1.81;1.81
389.0;1.81;1.80
390.0;1.81;1.80
391.0;1.81;1.80
392.0;1.80;1.80
393.0;1.78;1.78
394.0;1.77;1.78
395.0;1.79;1.79
396.0;1.81;1.80
397.0;1.81;1.80
398.0;1.81;1.80
399.0;1.80;1.80
400.0;1.81;1.80
401.0;1.81;1.80
402.0;1.82;1.81
403.0;1.84;1.82
404.0;1.83;1.81
405.0;1.81;1.80
406.0;1.79;1.79
407.0;1.79;1.79
408.0;1.79;1.79
409.0;1.79;1.79
410.0;1.79;1.79
411.0;1.79;1.79
412.0;1.78;1.78
413.0;1.76;1.77
414.0;1.76;1.77
415.0;1.78;1.78
416.0;1.79;1.79
417.0;1.79;1.79
418.0;1.79;1.78
419.0;1.79;1.78
420.0;1.79;1.78
421.0;1.79;1.78
422.0;1.81;1.80
423.0;1.82;1.81
424.0;1.81;1.79
425.0;1.79;1.78
426.0;1.78;1.78
427.0;1.77;1.77
428.0;1.77;1.77
429.0;1.78;1.77
430.0;1.78;1.77
431.0;1.77;1.77
432.0;1.76;1.76
433.0;1.74;1.75
434.0;1.75;1.76
435.0;1.77;1.77
436.0;1.78;1.77
437.0;1.78;1.77
438.0;1.78;1.77
439.0;1.78;1.77
440.0;1.77;1.77
441.0;1.78;1.77
442.0;1.80;1.79
443.0;1.81;1.79
444.0;1.79;1.78
445.0;1.77;1.77
446.0;1.76;1.76
447.0;1.76;1.76
448.0;1.76;1.76
449.0;1.76;1.76
450.0;1.76;1.76
451.0;1.76;1.76
452.0;1.74;1.75
453.0;1.73;1.74
454.0;1.74;1.75
455.0;1.76;1.76
456.0;1.77;1.76
457.0;1.77;1.76
458.0;1.76;1.76
459.0;1.76;1.76
460.0;1.76;1.76
461.0;1.77;1.76
462.0;1.79;1.78
463.0;1.80;1.78
464.0;1.78;1.77
465.0;1.76;1.75
466.0;1.75;1.75
467.0;1.75;1.75
468.0;1.75;1.75
469.0;1.75;1.75
470.0;1.75;1.75
471.0;1.75;1.74
472.0;1.73;1.73
473.0;1.72;1.73
474.0;1.73;1.74
475.0;1.75;1.75
476.0;1.76;1.75
477.0;1.76;1.75
478.0;1.75;1.75
479.0;1.75;1.75
480.0;1.75;1.75
481.0;1.76;1.76
482.0;1.79;1.77
483.0;1.79;1.77
484.0;1.76;1.75
485.0;1.75;1.74
486.0;1.74;1.74
487.0;1.74;1.74
488.0;1.75;1.74
489.0;1.74;1.74
490.0;1.74;1.74
491.0;1.74;1.74
492.0;1.72;1.72
493.0;1.71;1.72
494.0;1.73;1.73
495.0;1.75;1.74
496.0;1.75;1.75
497.0;1.75;1.74
498.0;1.75;1.74

